Какие типы временной сложности алгоритмов упоминаются в главе 1?;Постоянное время, логарифмическое время, линейное время, линейно-логарифмическое время, квадратичное время, кубическое время, экспоненциальное время.
Какие темы охватывает оглавление второй части книги?;Хеш-таблицы, двоичные деревья, двоичные кучи, графы, вдохновение самоучки: Илон Маск, дальнейшие шаги.
Кто упоминается в историях успеха самоучек во введении?;Мэтт Мансон и Тианни Майерс.
Какие практические аспекты начала работы с Python описаны во введении?;Установка Python, устранение неполадок, практикумы, а также совет не бросать начатое.
Какие два вида сложности анализируются в главе 1?;Временная сложность и пространственная сложность.
Что обещает раздел «Практикум» в конце главы 1?;"В тексте указано 'Практикум' без деталей; подразумевается, что это упражнения для закрепления материала."
Каков номер страницы, с которой начинается глава о хеш-таблицах?;Страница 174.
Какие разделы содержит оглавление книги (основные части)?;Введение в алгоритмы (часть I), хеш-таблицы, двоичные деревья, двоичные кучи, графы, вдохновение самоучки, дальнейшие шаги, оглавление, об авторе, благодарности, от издательства, введение.
Когда следует использовать рекурсию?;Рекурсию следует использовать, когда задача может быть разбита на более мелкие подзадачи, аналогичные исходной, и когда решение зависит от решений этих подзадач, например, при обходе деревьев, вычислении факториалов или чисел Фибоначчи.
Когда следует использовать линейный поиск?;Линейный поиск следует использовать, когда данные не отсортированы или когда размер массива мал, так как он последовательно проверяет каждый элемент.
Когда следует использовать двоичный поиск?;Двоичный поиск следует использовать, когда данные отсортированы, так как он быстрее линейного поиска для больших массивов, деля массив пополам на каждом шаге.
Когда следует использовать пузырьковую сортировку?;Пузырьковую сортировку следует использовать для небольших наборов данных или в учебных целях, так как она проста, но неэффективна для больших массивов.
Когда следует использовать сортировку вставками?;Сортировку вставками следует использовать, когда данные почти отсортированы или когда размер массива мал, так как она эффективна для таких случаев.
Когда следует использовать сортировку слиянием?;Сортировку слиянием следует использовать, когда требуется стабильная сортировка больших массивов с гарантированной временной сложностью O(n log n).
Какие алгоритмы сортировки реализованы в Python?;В Python встроенные функции, такие как sorted() и метод list.sort(), используют алгоритм Timsort, который является гибридной сортировкой на основе сортировки слиянием и вставками.
Что такое анаграммы и как их обнаруживать?;Анаграммы — это слова, состоящие из одних и тех же букв, но в разном порядке. Для обнаружения можно отсортировать символы обоих слов и сравнить их или подсчитать частоту символов.
Что такое палиндромы и как их выявлять?;Палиндромы — это строки, которые читаются одинаково слева направо и справа налево, например, 'радар'. Выявляются сравнением строки с её перевернутой версией.
Как найти последнюю цифру числа?;Последняя цифра числа находится с помощью операции остатка от деления на 10: number % 10.
Что такое шифр Цезаря?;Шифр Цезаря — это подстановочный шифр, где каждая буква в тексте заменяется на другую, сдвинутую на фиксированное количество позиций в алфавите.
Что такое двоичный код?;Двоичный код — это система представления чисел и данных с использованием только двух цифр: 0 и 1.
Назовите основные побитовые операторы в Python.;Основные побитовые операторы: & (AND), | (OR), ^ (XOR), ~ (NOT), << (сдвиг влево), >> (сдвиг вправо).
Что такое задача FizzBuzz?;FizzBuzz — это задача, в которой для чисел от 1 до n нужно выводить 'Fizz' для чисел, кратных 3, 'Buzz' для кратных 5, 'FizzBuzz' для кратных 15, иначе само число.
Что такое наибольший общий делитель (НОД)?;НОД двух чисел — это наибольшее число, которое делит оба числа без остатка.
Что такое алгоритм Евклида?;Алгоритм Евклида — это эффективный метод нахождения НОД двух чисел, основанный на повторяющемся делении: НОД(a, b) = НОД(b, a % b) до тех пор, пока b не станет 0.
Что такое простые числа?;Простые числа — это натуральные числа больше 1, которые делятся только на 1 и на себя.
Какая тема рассматривается в практикуме на странице 110?;Вдохновение самоучки: Маргарет Гамильтон
Какая глава начинается на странице 113?;II Структуры данных
Что такое структуры данных?;Тема главы, начинающейся на странице 114
Что рассматривается на странице 119?;Массивы
Какие темы связаны с массивами?;Производительность массива, создание массива, перемещение нулей, объединение двух списков, поиск дубликатов в списке, поиск области пересечения двух списков
Какая глава начинается на странице 134?;10 Связные списки
Какие операции со связными списками рассматриваются?;Производительность связных списков, создание, поиск, удаление узла, реверсия, поиск цикла
Какая глава начинается на странице 147?;11 Стеки
Когда использовать стеки?;Тема, рассматриваемая на странице 148
Какие задачи решаются с помощью стеков?;Реверсирование строк, минимальный стек, помещенные в стек скобки
Какая глава начинается на странице 162?;12 Очереди
"Что рассматривается в главе ""Очереди""?";Когда использовать очереди, создание очереди, встроенный класс Queue, создание очереди с помощью двух стеков
Какие темы рассматриваются в разделах про хеш-таблицы?;Когда использовать хеш-таблицы, символы в строке, сумма двух, словарь терминов, практикум.
Какие темы входят в раздел о двоичных деревьях?;Когда использовать деревья, создаем двоичное дерево, обход дерева в ширину, другие обходы дерева, инвертируем двоичное дерево, словарь терминов, практикум.
Какие темы описаны в разделе о двоичных кучах?;Когда использовать кучи, создаем кучу, соединяем канаты с минимальными затратами, словарь терминов, практикум.
Какие темы входят в раздел о графах?;Когда использовать графы, создаем граф, алгоритм Дейкстры, словарь терминов, практикум.
Какие главы посвящены карьерным советам и дальнейшим шагам?;Вдохновение самоучки: Илон Маск, дальнейшие шаги (что дальше, карьера фрилансера, как попасть на собеседование, как подготовиться к техническому интервью, дополнительные источники, заключительные размышления).
Кому посвящена книга?;Книга посвящена жене Бобби и дочери Луке.
Кто автор книги и какая его первая книга?;Автор — Кори Альтхофф, писатель, программист и лектор. Его первая книга — The Self-Taught Programmer («Программист-самоучка»), переведенная на семь языков.
Что вошло в обиход после публикации книги Кори Альтхоффа?;Понятие программист-самоучка.
Какая организация назвала книгу 'The Self-Taught Programmer' одной из величайших книг по программированию всех времен?;Book Authority.
Сколько разработчиков состоит в сообществе программистов-самоучек, собранном Кори Альтхоффом?;Более 200 тысяч.
Какую степень получил Кори Альтхофф в колледже?;Степень в области политологии.
Какой первый язык программирования часто предлагают изучать в учебных заведениях?;Java.
Какой язык программирования Кори решил изучить самостоятельно вместо Java?;Python.
Какое онлайн-сообщество помогло Кори сохранить мотивацию?;Stack Overflow.
В какой компании Кори получил должность разработчика программного обеспечения?;eBay.
Сколько лет Ханну Парвиайнен имеет опыта программирования на Python?;Более 20 лет.
Как переводится название книги 'The Self-Taught Programmer' на русский язык?;Сам себе программист.
О чем книга 'Программист-самоучка'?;Книга содержит основы программирования и опыт автора как инженера-программиста, помогая другим пройти путь самообучения.
Какая проблема побудила автора создать группу Self-Taught Programmers?;Проблема одиночества, с которой он столкнулся во время обучения программированию.
Что автор рекомендует делать тем, кто не умеет программировать на Python?;Обратиться к первой книге The Self-Taught Programmer, пройти курс на Udemy или выучить Python другим способом.
Какие две темы важны для программиста-самоучки по мнению автора?;Структуры данных и алгоритмы.
Что такое computer science?;Дисциплина, изучающая компьютеры и их работу.
Какое мнение автор высказывает о необходимости изучения computer science для программистов?;Автор считает, что изучение computer science необходимо для успешного программирования, так как понимание принципов работы компьютеров позволяет эффективно писать код и проходить технические собеседования.
Почему, по мнению автора, технические собеседования в топовых компаниях сосредоточены на computer science?;Технические собеседования сосредоточены на computer science, особенно на структурах данных и алгоритмах, потому что работодатели хотят оценить глубокие знания кандидата в этих областях.
Какой пример из личного опыта автор приводит, чтобы подчеркнуть важность изучения computer science?;Автор описывает свою первую работу в eBay, где он оказался в команде программистов из престижных университетов и чувствовал себя неуверенно из-за недостатка знаний в computer science.
Как изучение структур данных и алгоритмов помогает улучшить навыки разработчика?;Изучение структур данных и алгоритмов позволяет немедленно оценить качество работы, сравнивая свой код с известными алгоритмами, что обеспечивает положительную обратную связь и улучшает навыки программирования.
Какую главную ошибку автор совершил как программист-самоучка?;Автор попытался войти в индустрию программного обеспечения, не уделив достаточного внимания изучению структур данных и алгоритмов, что сделало его путь более сложным.
Для кого предназначена эта книга, согласно автору?;Книга предназначена для самоучек, но также полезна для студентов колледжей, которые могут использовать её для углубления знаний за пределами учебной программы.
Какой совет автор дает студентам, изучающим информатику в колледже?;Автор советует студентам оставаться в колледже, продолжая учиться и выходить за пределы учебных программ, руководствуясь девизом «Всегда учиться!».
Что необходимо для успешной карьеры инженера-программиста, по мнению автора?;Для успешной карьеры необходимо иметь прочную базу в computer science, особенно в структурах данных и алгоритмах, что позволит проходить технические собеседования и чувствовать себя уверенно среди коллег с профильным образованием.
Для кого написана эта книга?;Для каждого, кто хочет узнать больше о computer science, независимо от цели: заполнить пробелы в знаниях, подготовиться к техническому интервью или стать лучше как программист.
Можно ли построить успешную карьеру программиста без диплома?;Да, можно, как подтверждают истории успеха самоучек, с которыми автор делится в книге.
Кто такой Мэтт Мансон?;Член группы Self-Taught Programmers на Facebook, который потерял работу и жилье, но благодаря упорству и самообучению стал программистом.
Как Мэтт Мансон оказался без жилья?;Он потерял работу в финансово-технологической компании, затем подрабатывал разными способами, но через несколько месяцев лишился жилья.
Что делал Мэтт после потери жилья?;Продолжал учиться в колледже, живя в машине и палатке, затем продал фургон и переехал в Остин, штат Техас.
Как Мэтт получил работу программиста?;"Он разослал резюме, и небольшая стартап-компания пригласила его на собеседование; директор был впечатлен его искренностью и дал шанс."
Что сказал директор компании про Мэтта на собеседовании?;Он сказал, что у Мэтта приличная база, и он напоминает ему прочный, но относительно пустой ящик, справится с нагрузкой, а научится во время работы.
Чего достиг Мэтт через год после получения работы?;Он жил в комфортной квартире, его уважали коллеги и интересовались его мнением по важным вопросам компании.
Кто такой Тианни Майерс?;Читатель книги The Self-Taught Programmer, который самостоятельно освоил профессию и стал младшим веб-разработчиком за 12 месяцев.
Как Тианни начал свой путь самоучки?;С лекций по веб-дизайну в колледже, затем изучил основы HTML и CSS в Code Academy и написал первую программу на Python — игру с числами.
Сколько часов в день автор посвящал чтению книг по программированию и написанию кода в возрасте 21 года?;0 часов в день.
Какую работу автор выполнял, чтобы сводить концы с концами в 21 год?;Работал на полставки в Goodwill.
Что автор использовал как инструмент для творчества?;Языки программирования.
Какие этапы прошел автор при найме на работу?;Ответил на вопросы SQL-ассесмента на Indeed, прошел телефонное собеседование, ассесмент по коду и очное собеседование.
Кто просматривал ответы автора во время код-ассесмента?;Директор по веб-разработке и два senior-разработчика.
Как автор охарактеризовал свою уверенность на собеседовании?;Чувствовал себя достаточно уверенно, так как они были поражены его ответами и приятно удивлены, что он самоучка.
Через какое время после собеседования автора наняли?;Две недели спустя.
Какой язык программирования используется для примеров в книге?;Python.
Почему автор выбрал Python для примеров в книге?;Так как он один из самых простых для чтения.
Что обозначают строки вида #http://tinyurl.com/h4qntgk в книге?;URL-адрес, который открывает веб-страницу с соответствующим кодом.
Что означает текст после >> в примерах кода?;Вывод интерактивной оболочки Python.
Что обозначает многоточие после вывода (...) в примерах?;И так далее.
Какую версию Python необходимо установить для работы с примерами из книги?;Python версии 3.
Где можно загрузить Python для Windows или Unix?;По ссылке http://python.org/downloads.
Какая операционная система имеет Python 3 по умолчанию?;Ubuntu.
Почему важно загрузить Python 3, а не Python 2?;Некоторые примеры в книге не будут работать с Python 2.
Для каких разрядностей доступен Python?;Для 32-битных и 64-битных компьютеров.
Что делать при возникновении сложностей с установкой Python?;Написать сообщение в группу Self-Taught Programmers в Facebook.
Как рекомендуется размещать код при просьбе о помощи в интернете?;Поместить его в GitHub Gist, никогда не присылать скриншоты кода.
Для чего предназначены практикумы в конце глав?;Чтобы проверить понимание материала, улучшить навыки и помочь подготовиться к техническому интервью.
Где найти решения предложенных задач в книге?;На GitHub по ссылке https://github.com/calthoff/tstcs_challenge_solutions.
Какой тег рекомендуется использовать в Twitter для обсуждения успехов?;#selftaughtcoder.
Кто изобрел методику продуктивности «Не разрывай цепь»?;Джерри Сайнфелд.
Для чего использовалась методика «Не разрывай цепь» Джерри Сайнфелдом?;Для оттачивания своего первого стендап-выступления.
Какой метод мотивации описывается в тексте?;Метод «Не разрывай цепь» (зеленые галочки в календаре).
Что такое алгоритм?;Последовательность шагов, которая решает задачу.
Какие четыре характеристики алгоритма описаны в тексте?;Определенность, эффективность, конечность, правильность.
Что означает определенность алгоритма?;Шаги четкие, лаконичные и недвусмысленные.
Что означает эффективность алгоритма?;Каждую операцию можно выполнить точно для решения задачи.
Что означает конечность алгоритма?;Алгоритм останавливается после определенного количества шагов.
Что означает правильность алгоритма?;Алгоритм всегда выдает один и тот же результат для заданных входных данных, и результат правильный.
Приведите пример исключения из правила правильности алгоритма.;Генератор случайных чисел, где цель — случайность, а не детерминированный вывод.
Какой еще пример нестрогого соблюдения правильности упоминается?;Алгоритмы в data science, которые могут лишь предполагать вывод с известной неопределенностью.
Как оценить алгоритм одним из способов?;Один из способов оценить алгоритм — обратить внимание на время его выполнения.
Что такое время выполнения алгоритма?;Время выполнения алгоритма — это количество необходимого вашему компьютеру времени, чтобы выполнить алгоритм, написанный на языке программирования.
Какой модуль Python используется для измерения времени выполнения алгоритма?;Модуль time.
Почему время выполнения одного и того же алгоритма может меняться при повторных запусках?;Потому что доступная производительность компьютера в процессе выполнения программы меняется.
Влияет ли язык программирования на время выполнения алгоритма?;Да, время выполнения может быть короче на быстрых языках, таких как C, по сравнению с Python.
Почему оценка времени выполнения неэффективна для сравнения алгоритмов?;Потому что на время выполнения влияют множество переменных, включая вычислительные мощности компьютера и язык программирования.
